scheme,fold,features,control,balanced_accuracy,chance,ece,n_train,n_test,fit_seconds
loso_allen,719161530_probeA,w2v2_frozen_lp100,model,0.6992355782892866,0.3333333333333333,0.06843744846490711,11150,1300,3.0
loso_allen,719161530_probeA,w2v2_frozen_lp100,permuted,0.3024580846831486,0.3333333333333333,0.1247560380284603,11150,1300,3.4
loso_allen,719161530_probeB,w2v2_frozen_lp100,model,0.6645406445406445,0.3333333333333333,0.07365570127964019,11100,1350,2.9
loso_allen,719161530_probeB,w2v2_frozen_lp100,permuted,0.3305146705146705,0.3333333333333333,0.12734986239009433,11100,1350,3.4
loso_allen,719161530_probeC,w2v2_frozen_lp100,model,0.7809090909090909,0.5,0.037234485519343385,11725,725,2.1
loso_allen,719161530_probeC,w2v2_frozen_lp100,permuted,0.38116883116883116,0.5,0.06995447495888017,11725,725,2.2
loso_allen,719161530_probeF,w2v2_frozen_lp100,model,0.5956470588235294,0.3333333333333333,0.10491625047311551,11425,1025,1.9
loso_allen,719161530_probeF,w2v2_frozen_lp100,permuted,0.28580392156862744,0.3333333333333333,0.12569950246229405,11425,1025,2.5
loso_allen,798911424_probeA,w2v2_frozen_lp100,model,0.6512397660818713,0.3333333333333333,0.06551691354445688,11125,1325,2.4
loso_allen,798911424_probeA,w2v2_frozen_lp100,permuted,0.3090409356725146,0.3333333333333333,0.12133232280893147,11125,1325,2.5
loso_allen,798911424_probeB,w2v2_frozen_lp100,model,0.6168983957219252,0.3333333333333333,0.09077395420325429,11025,1425,2.4
loso_allen,798911424_probeB,w2v2_frozen_lp100,permuted,0.3373103584868291,0.3333333333333333,0.13802658875783289,11025,1425,2.4
loso_allen,798911424_probeC,w2v2_frozen_lp100,model,0.5747826086956522,0.5,0.11213486533415942,11500,950,2.3
loso_allen,798911424_probeC,w2v2_frozen_lp100,permuted,0.3577391304347826,0.5,0.06557141172258478,11500,950,2.6
loso_allen,798911424_probeD,w2v2_frozen_lp100,model,0.4001623931623932,0.3333333333333333,0.2891199186715212,11075,1375,2.3
loso_allen,798911424_probeD,w2v2_frozen_lp100,permuted,0.30590598290598287,0.3333333333333333,0.10208457987958733,11075,1375,2.7
loso_allen,798911424_probeE,w2v2_frozen_lp100,model,0.49726926010678874,0.3333333333333333,0.23666762067425634,10900,1550,2.5
loso_allen,798911424_probeE,w2v2_frozen_lp100,permuted,0.3185049580472921,0.3333333333333333,0.16476940393447873,10900,1550,2.9
loso_allen,798911424_probeF,w2v2_frozen_lp100,model,0.4902083333333333,0.25,0.1335657627749861,11025,1425,2.2
loso_allen,798911424_probeF,w2v2_frozen_lp100,permuted,0.24173611111111112,0.25,0.14273928148704662,11025,1425,2.3
loso_ibl,0802ced5_probe00,w2v2_frozen_lp100,model,0.5542884679517108,0.25,0.14960824219570604,27775,5375,5.3
loso_ibl,0802ced5_probe00,w2v2_frozen_lp100,permuted,0.23093745970341714,0.25,0.14336195840946467,27775,5375,6.4
loso_ibl,0802ced5_probe01,w2v2_frozen_lp100,model,0.661504347826087,0.3333333333333333,0.08918330204291423,28575,4575,5.0
loso_ibl,0802ced5_probe01,w2v2_frozen_lp100,permuted,0.32790519323671496,0.3333333333333333,0.07182663615284068,28575,4575,4.7
loso_ibl,0a018f12_probe00,w2v2_frozen_lp100,model,0.6359331346619482,0.3333333333333333,0.10637721618016563,28650,4500,4.9
loso_ibl,0a018f12_probe00,w2v2_frozen_lp100,permuted,0.3506292916123425,0.3333333333333333,0.06426520638995699,28650,4500,5.0
loso_ibl,3638d102_probe01,w2v2_frozen_lp100,model,0.6840974910394265,0.3333333333333333,0.08166344206600902,28475,4675,4.9
loso_ibl,3638d102_probe01,w2v2_frozen_lp100,permuted,0.3578551971326165,0.3333333333333333,0.05935274576120834,28475,4675,4.9
loso_ibl,54238fd6_probe00,w2v2_frozen_lp100,model,0.5297491899794531,0.25,0.1436407155842431,28725,4425,5.3
loso_ibl,54238fd6_probe00,w2v2_frozen_lp100,permuted,0.26168355855855857,0.25,0.06568482462295705,28725,4425,5.9
loso_ibl,5dcee0eb_probe00,w2v2_frozen_lp100,model,0.6535084238702566,0.3333333333333333,0.12092907604293443,28125,5025,5.0
loso_ibl,5dcee0eb_probe00,w2v2_frozen_lp100,permuted,0.30755354612322017,0.3333333333333333,0.11140495752220722,28125,5025,5.4
loso_ibl,d2832a38_probe00,w2v2_frozen_lp100,model,0.5910781039136302,0.25,0.06637936566045377,28575,4575,5.3
loso_ibl,d2832a38_probe00,w2v2_frozen_lp100,permuted,0.25914937584345477,0.25,0.067111314496056,28575,4575,5.8
cross_lab_allen_to_ibl,0802ced5_probe00,w2v2_frozen_lp100,model,0.40276291158096,0.25,0.21922385640477027,12450,5375,2.0
cross_lab_allen_to_ibl,0802ced5_probe00,w2v2_frozen_lp100,permuted,0.23201405100157851,0.25,0.1309208990806757,12450,5375,2.2
cross_lab_allen_to_ibl,0802ced5_probe01,w2v2_frozen_lp100,model,0.4563630434782609,0.3333333333333333,0.31200777436866134,12450,4575,2.0
cross_lab_allen_to_ibl,0802ced5_probe01,w2v2_frozen_lp100,permuted,0.29350893719806764,0.3333333333333333,0.18641093615625726,12450,4575,2.2
cross_lab_allen_to_ibl,0a018f12_probe00,w2v2_frozen_lp100,model,0.5179926119078662,0.3333333333333333,0.2149526827070448,12450,4500,2.0
cross_lab_allen_to_ibl,0a018f12_probe00,w2v2_frozen_lp100,permuted,0.34105898056745515,0.3333333333333333,0.15835481902625825,12450,4500,2.2
cross_lab_allen_to_ibl,3638d102_probe01,w2v2_frozen_lp100,model,0.38563440860215054,0.3333333333333333,0.444177427814606,12450,4675,2.0
cross_lab_allen_to_ibl,3638d102_probe01,w2v2_frozen_lp100,permuted,0.32190107526881717,0.3333333333333333,0.18267677511123415,12450,4675,2.2
cross_lab_allen_to_ibl,54238fd6_probe00,w2v2_frozen_lp100,model,0.3519244902797534,0.25,0.33538702680566224,12450,4425,2.0
cross_lab_allen_to_ibl,54238fd6_probe00,w2v2_frozen_lp100,permuted,0.24043138533270114,0.25,0.13629152729686367,12450,4425,2.2
cross_lab_allen_to_ibl,5dcee0eb_probe00,w2v2_frozen_lp100,model,0.5160323008750028,0.3333333333333333,0.2570120794263052,12450,5025,2.0
cross_lab_allen_to_ibl,5dcee0eb_probe00,w2v2_frozen_lp100,permuted,0.3334072924398857,0.3333333333333333,0.17738463073227534,12450,5025,2.2
cross_lab_allen_to_ibl,d2832a38_probe00,w2v2_frozen_lp100,model,0.4186936993927125,0.25,0.23462091332576318,12450,4575,2.0
cross_lab_allen_to_ibl,d2832a38_probe00,w2v2_frozen_lp100,permuted,0.23464840587044536,0.25,0.1781111355818035,12450,4575,2.2
cross_lab_ibl_to_allen,719161530_probeA,w2v2_frozen_lp100,model,0.599721511793123,0.3333333333333333,0.13662576611225422,33150,1300,3.9
cross_lab_ibl_to_allen,719161530_probeA,w2v2_frozen_lp100,permuted,0.2857459505541347,0.3333333333333333,0.09585840440713442,33150,1300,4.1
cross_lab_ibl_to_allen,719161530_probeB,w2v2_frozen_lp100,model,0.5609139009139009,0.3333333333333333,0.1720111936993069,33150,1350,3.9
cross_lab_ibl_to_allen,719161530_probeB,w2v2_frozen_lp100,permuted,0.31675805675805674,0.3333333333333333,0.0904780849041762,33150,1350,4.1
cross_lab_ibl_to_allen,719161530_probeC,w2v2_frozen_lp100,model,0.25987012987012986,0.5,0.49600475463373905,33150,725,3.9
cross_lab_ibl_to_allen,719161530_probeC,w2v2_frozen_lp100,permuted,0.4375324675324675,0.5,0.106671257841176,33150,725,4.1
cross_lab_ibl_to_allen,719161530_probeF,w2v2_frozen_lp100,model,0.5110588235294118,0.3333333333333333,0.21436635462249198,33150,1025,3.9
cross_lab_ibl_to_allen,719161530_probeF,w2v2_frozen_lp100,permuted,0.3225882352941176,0.3333333333333333,0.0655165510352065,33150,1025,4.1
cross_lab_ibl_to_allen,798911424_probeA,w2v2_frozen_lp100,model,0.5724970760233918,0.3333333333333333,0.16473187480332718,33150,1325,3.9
cross_lab_ibl_to_allen,798911424_probeA,w2v2_frozen_lp100,permuted,0.35510526315789476,0.3333333333333333,0.04248247385025026,33150,1325,4.1
cross_lab_ibl_to_allen,798911424_probeB,w2v2_frozen_lp100,model,0.5384194890077244,0.3333333333333333,0.17527624851778933,33150,1425,3.9
cross_lab_ibl_to_allen,798911424_probeB,w2v2_frozen_lp100,permuted,0.3385304020598139,0.3333333333333333,0.04921960000406231,33150,1425,4.1
cross_lab_ibl_to_allen,798911424_probeC,w2v2_frozen_lp100,model,0.4350144927536232,0.5,0.31757168292999266,33150,950,3.9
cross_lab_ibl_to_allen,798911424_probeC,w2v2_frozen_lp100,permuted,0.42318840579710143,0.5,0.05423447122699335,33150,950,4.1
cross_lab_ibl_to_allen,798911424_probeD,w2v2_frozen_lp100,model,0.24698290598290598,0.3333333333333333,0.3679935781088743,33150,1375,3.9
cross_lab_ibl_to_allen,798911424_probeD,w2v2_frozen_lp100,permuted,0.24081196581196582,0.3333333333333333,0.07886824417114262,33150,1375,4.1
cross_lab_ibl_to_allen,798911424_probeE,w2v2_frozen_lp100,model,0.35907246376811597,0.3333333333333333,0.348203254015215,33150,1550,3.9
cross_lab_ibl_to_allen,798911424_probeE,w2v2_frozen_lp100,permuted,0.23084057971014493,0.3333333333333333,0.15694123212368258,33150,1550,4.1
cross_lab_ibl_to_allen,798911424_probeF,w2v2_frozen_lp100,model,0.3942361111111111,0.25,0.28283796293693675,33150,1425,3.9
cross_lab_ibl_to_allen,798911424_probeF,w2v2_frozen_lp100,permuted,0.24041666666666667,0.25,0.0904997443943693,33150,1425,4.1
