held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,898,0.9999409820585458,0.9869791666666667
719161530_probeB+0802ced5_probe01,801,0.9999642154231526,0.9943639291465378
719161530_probeC+0a018f12_probe00,665,0.9999810304271948,0.9991273996509599
719161530_probeF+3638d102_probe01,732,1.0,0.9897260273972603
798911424_probeA+54238fd6_probe00,743,0.9982365032997944,0.9859785783836417
798911424_probeB+5dcee0eb_probe00,876,0.9928782920367774,0.9240065451145395
798911424_probeC+d2832a38_probe00,719,0.9831919191919192,0.964
798911424_probeD+0802ced5_probe00,891,1.0,1.0
798911424_probeE+0802ced5_probe01,811,0.9982117128570218,0.977553182473091
798911424_probeF+0a018f12_probe00,764,0.9994426322377858,0.9781849912739965
