held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,898,1.0,1.0
719161530_probeB+0802ced5_probe01,801,1.0,1.0
719161530_probeC+0a018f12_probe00,665,1.0,1.0
719161530_probeF+3638d102_probe01,732,1.0,1.0
798911424_probeA+54238fd6_probe00,743,1.0,1.0
798911424_probeB+5dcee0eb_probe00,876,0.9999844163939535,0.9865591397849462
798911424_probeC+d2832a38_probe00,719,0.999986531986532,0.996
798911424_probeD+0802ced5_probe00,891,1.0,1.0
798911424_probeE+0802ced5_probe01,811,1.0,1.0
798911424_probeF+0a018f12_probe00,764,1.0,1.0
