held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,898,0.9988048866855525,0.9820216595845137
719161530_probeB+0802ced5_probe01,801,0.9978976561102165,0.9703703703703703
719161530_probeC+0a018f12_probe00,665,1.0,1.0
719161530_probeF+3638d102_probe01,732,0.9988545514049277,0.9931506849315068
798911424_probeA+54238fd6_probe00,743,0.9996105160662122,0.9908525370550687
798911424_probeB+5dcee0eb_probe00,876,0.9921146953405018,0.8890603085553996
798911424_probeC+d2832a38_probe00,719,0.9882289562289562,0.972
798911424_probeD+0802ced5_probe00,891,0.9994640532884159,0.9909233596202436
798911424_probeE+0802ced5_probe01,811,0.9953809644885159,0.948881261123824
798911424_probeF+0a018f12_probe00,764,0.9999908628235703,0.9712041884816753
