held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,898,0.9821249409820586,0.9474592776203966
719161530_probeB+0802ced5_probe01,801,0.9968330649490069,0.9698067632850241
719161530_probeC+0a018f12_probe00,665,0.999051521359739,0.9710050079672206
719161530_probeF+3638d102_probe01,732,0.9825143765486932,0.94007433727617
798911424_probeA+54238fd6_probe00,743,0.9893649248079628,0.9615168235421401
798911424_probeB+5dcee0eb_probe00,876,0.945137914913511,0.8532725572697522
798911424_probeC+d2832a38_probe00,719,0.9895488215488215,0.9517912457912459
798911424_probeD+0802ced5_probe00,891,0.9988668555240793,0.9922096317280453
798911424_probeE+0802ced5_probe01,811,0.9882447665056361,0.9265319094838546
798911424_probeF+0a018f12_probe00,764,0.9780159535100463,0.911867364746946
