held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,898,0.997307306421152,0.979417492917847
719161530_probeB+0802ced5_probe01,801,0.9939076757917338,0.9608695652173913
719161530_probeC+0a018f12_probe00,665,1.0,1.0
719161530_probeF+3638d102_probe01,732,0.9998831174902987,0.982023470007948
798911424_probeA+54238fd6_probe00,743,0.9943200259655957,0.9708482094558044
798911424_probeB+5dcee0eb_probe00,876,0.9735156615240766,0.8971248246844319
798911424_probeC+d2832a38_probe00,719,0.9775622895622896,0.956
798911424_probeD+0802ced5_probe00,891,0.9997320266442079,0.995042492917847
798911424_probeE+0802ced5_probe01,811,0.996186117467582,0.9707390456818374
798911424_probeF+0a018f12_probe00,764,0.9994609065906453,0.9869109947643979
