held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,898,0.9956252950897072,0.9270833333333333
719161530_probeB+0802ced5_probe01,801,0.9826176417963858,0.8917069243156199
719161530_probeC+0a018f12_probe00,665,0.9996964868351165,0.9456521739130435
719161530_probeF+3638d102_probe01,732,0.9992636401888821,0.9674715975501426
798911424_probeA+54238fd6_probe00,743,0.9999134480147139,0.9936708860759493
798911424_probeB+5dcee0eb_probe00,876,0.9677341436808478,0.8746844319775596
798911424_probeC+d2832a38_probe00,719,0.9957710437710438,0.9159999999999999
798911424_probeD+0802ced5_probe00,891,1.0,0.9992917847025495
798911424_probeE+0802ced5_probe01,811,0.9970166963301975,0.9629036359013476
798911424_probeF+0a018f12_probe00,764,0.9999817256471406,0.9921465968586387
