held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,898,0.8076605288007555,0.653985186496695
719161530_probeB+0802ced5_probe01,801,0.7761227410985865,0.6326892109500806
719161530_probeC+0a018f12_probe00,665,0.6173268078002883,0.5856571060019728
719161530_probeF+3638d102_probe01,732,0.8169736780588153,0.6422460143064193
798911424_probeA+54238fd6_probe00,743,0.7744022503516175,0.6468624905333766
798911424_probeB+5dcee0eb_probe00,876,0.7820554776375253,0.6640486208508649
798911424_probeC+d2832a38_probe00,719,0.6757306397306397,0.6054949494949495
798911424_probeD+0802ced5_probe00,891,0.7981088737462675,0.6263034989663885
798911424_probeE+0802ced5_probe01,811,0.6515128400711925,0.5745698788032885
798911424_probeF+0a018f12_probe00,764,0.6498359876830861,0.5654450261780105
