held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,898,0.741626829556185,0.615084985835694
719161530_probeB+0802ced5_probe01,801,0.731445696904634,0.5686795491143317
719161530_probeC+0a018f12_probe00,665,0.7767850368009712,0.58949844449503
719161530_probeF+3638d102_probe01,732,0.9008485670204311,0.6977885829164524
798911424_probeA+54238fd6_probe00,743,0.7307043167802661,0.5873363626528183
798911424_probeB+5dcee0eb_probe00,876,0.8559139784946237,0.6708976157082749
798911424_probeC+d2832a38_probe00,719,0.8115959595959596,0.6387407407407407
798911424_probeD+0802ced5_probe00,891,0.7638082842048848,0.6549498507005589
798911424_probeE+0802ced5_probe01,811,0.8632256970929741,0.7305195355538605
798911424_probeF+0a018f12_probe00,764,0.8724541542172639,0.699825479930192
