held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,872,1.0,1.0
719161530_probeB+0802ced5_probe01,791,0.9992686284632593,0.9856909309929445
719161530_probeC+0a018f12_probe00,652,1.0,1.0
719161530_probeF+3638d102_probe01,744,1.0,0.9964285714285714
798911424_probeA+54238fd6_probe00,810,1.0,1.0
798911424_probeB+5dcee0eb_probe00,842,0.9984375000000001,0.9601682692307693
798911424_probeC+d2832a38_probe00,722,0.9985663930976431,0.96875
798911424_probeD+0802ced5_probe00,902,1.0,0.9993026499302651
798911424_probeE+0802ced5_probe01,814,0.9964364879009913,0.9630256757588818
798911424_probeF+0a018f12_probe00,721,1.0,0.9908536585365854
