held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,872,0.8727403608224231,0.7646106087191253
719161530_probeB+0802ced5_probe01,791,0.821459301325073,0.7078945104112889
719161530_probeC+0a018f12_probe00,652,0.7284512898044033,0.5844089577624492
719161530_probeF+3638d102_probe01,744,0.8652436140018921,0.7638363292336803
798911424_probeA+54238fd6_probe00,810,0.8278734642806156,0.7331102358898565
798911424_probeB+5dcee0eb_probe00,842,0.8653365384615385,0.7538541666666667
798911424_probeC+d2832a38_probe00,722,0.723024515993266,0.5992476851851851
798911424_probeD+0802ced5_probe00,902,0.7652531192280146,0.6568509932526669
798911424_probeE+0802ced5_probe01,814,0.6840788744535435,0.6228603534265131
798911424_probeF+0a018f12_probe00,721,0.741176599378202,0.6480711126680387
