held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,880,0.9973461212217921,0.9716513676713894
719161530_probeB+0802ced5_probe01,734,0.998657932577089,0.9696969696969697
719161530_probeC+0a018f12_probe00,701,0.9993288590604027,0.9840364333652925
719161530_probeF+3638d102_probe01,743,0.9978004167631396,0.9388554449332407
798911424_probeA+54238fd6_probe00,779,0.9965039540840173,0.9792994821365141
798911424_probeB+5dcee0eb_probe00,854,0.9770102274731088,0.8931552342326456
798911424_probeC+d2832a38_probe00,694,0.9993715747168432,0.9411764705882353
798911424_probeD+0802ced5_probe00,908,0.999935268097961,0.9978962131837308
798911424_probeE+0802ced5_probe01,795,0.9998989066363905,0.9823008849557522
798911424_probeF+0a018f12_probe00,790,0.9998183768075831,0.9888517954749878
