scheme,group,view,seed,lowpass_hz,permuted,n_test,chance,balanced_accuracy,macro_f1,ece,nll,classes_present
cross_lab_allen_to_ibl,0802ced5_probe00,4class,2,0.0,False,21500,0.25,0.2719292058516196,0.16754260598719786,0.7515138513825488,5.0056167080178815,CA1|CA3|DG|VIS
cross_lab_allen_to_ibl,0802ced5_probe00,5class,2,0.0,False,21500,0.25,0.2719292058516196,0.16754260598719786,0.7515138513825488,5.0056167080178815,CA1|CA3|DG|VIS
cross_lab_allen_to_ibl,0802ced5_probe01,4class,2,0.0,False,18300,0.3333333333333333,0.30610048309178745,0.20416861814097417,0.6131724326603699,3.854835868773952,CA1|DG|VIS
cross_lab_allen_to_ibl,0802ced5_probe01,5class,2,0.0,False,18300,0.3333333333333333,0.30610048309178745,0.20416861814097417,0.6131724326603699,3.854835868773952,CA1|DG|VIS
cross_lab_allen_to_ibl,0a018f12_probe00,4class,2,0.0,False,18000,0.3333333333333333,0.3501657509157509,0.25362894519790086,0.5789691152997946,3.4378399972337403,CA1|DG|VIS
cross_lab_allen_to_ibl,0a018f12_probe00,5class,2,0.0,False,18000,0.3333333333333333,0.3501657509157509,0.25362894519790086,0.5789691152997946,3.4378399972337403,CA1|DG|VIS
cross_lab_allen_to_ibl,3638d102_probe01,4class,2,0.0,False,18700,0.3333333333333333,0.2703777777777778,0.18560318492348307,0.6124293914535268,3.7354241929092944,CA1|DG|VIS
cross_lab_allen_to_ibl,3638d102_probe01,5class,2,0.0,False,18700,0.3333333333333333,0.2703777777777778,0.18560318492348307,0.6124293914535268,3.7354241929092944,CA1|DG|VIS
cross_lab_allen_to_ibl,54238fd6_probe00,4class,2,0.0,False,17700,0.25,0.22546875,0.12836538004996811,0.7525333516327075,4.925009943539703,CA1|CA3|DG|VIS
cross_lab_allen_to_ibl,54238fd6_probe00,5class,2,0.0,False,17700,0.25,0.22546875,0.12836538004996811,0.7525333516327075,4.925009943539703,CA1|CA3|DG|VIS
cross_lab_allen_to_ibl,5dcee0eb_probe00,4class,2,0.0,False,20100,0.3333333333333333,0.39290147783251234,0.3066113709767138,0.5616034692415491,3.630536579555435,CA1|DG|VIS
cross_lab_allen_to_ibl,5dcee0eb_probe00,5class,2,0.0,False,20100,0.3333333333333333,0.39290147783251234,0.3066113709767138,0.5616034692415491,3.630536579555435,CA1|DG|VIS
cross_lab_allen_to_ibl,d2832a38_probe00,4class,2,0.0,False,18300,0.25,0.25099612010796224,0.14794108366791525,0.6451776909373734,4.010349500300055,CA1|CA3|DG|VIS
cross_lab_allen_to_ibl,d2832a38_probe00,5class,2,0.0,False,18300,0.25,0.25099612010796224,0.14794108366791525,0.6451776909373734,4.010349500300055,CA1|CA3|DG|VIS
