held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,880,0.9075341602909188,0.8245962492966381
719161530_probeB+0802ced5_probe01,734,0.900750918677105,0.8290035681951323
719161530_probeC+0a018f12_probe00,701,0.8199584531799298,0.7219798657718121
719161530_probeF+3638d102_probe01,743,0.8629826863214222,0.7828393918345296
798911424_probeA+54238fd6_probe00,779,0.783955579651891,0.6606592009572061
798911424_probeB+5dcee0eb_probe00,854,0.7993960500793511,0.701757479574443
798911424_probeC+d2832a38_probe00,694,0.879020825721593,0.7306466934599927
798911424_probeD+0802ced5_probe00,908,0.813557737260402,0.6674794116589348
798911424_probeE+0802ced5_probe01,795,0.7392802152511004,0.6119025771031308
798911424_probeF+0a018f12_probe00,790,0.7524389400124543,0.6176745312391891
