held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,898,0.8685596671388103,0.6743168673276676
719161530_probeB+0802ced5_probe01,801,0.8551977097870818,0.7234299516908212
719161530_probeC+0a018f12_probe00,665,0.759124364519311,0.710505349419531
719161530_probeF+3638d102_probe01,732,0.8952265183038011,0.7440740567581468
798911424_probeA+54238fd6_probe00,743,0.8374012766417829,0.7035919073893757
798911424_probeB+5dcee0eb_probe00,876,0.7993688639551192,0.6742636746143057
798911424_probeC+d2832a38_probe00,719,0.8883501683501683,0.7764309764309765
798911424_probeD+0802ced5_probe00,891,0.8881708904371794,0.7318390628588929
798911424_probeE+0802ced5_probe01,811,0.8104839393168914,0.7076404780066108
798911424_probeF+0a018f12_probe00,764,0.7013970742761072,0.6404886561954625
