held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,898,0.9117681775259678,0.8199879013220019
719161530_probeB+0802ced5_probe01,801,0.9220432993379853,0.8207326892109501
719161530_probeC+0a018f12_probe00,665,0.9097048334471508,0.7788432354503376
719161530_probeF+3638d102_probe01,732,0.9325237271494693,0.8357099443639253
798911424_probeA+54238fd6_probe00,743,0.9142702585740561,0.7897976847343935
798911424_probeB+5dcee0eb_probe00,876,0.9219027582982701,0.7500701262272089
798911424_probeC+d2832a38_probe00,719,0.8975488215488214,0.7936969696969698
798911424_probeD+0802ced5_probe00,891,0.8903988974810504,0.7164459076640379
798911424_probeE+0802ced5_probe01,811,0.9120010170353419,0.7790660225442834
798911424_probeF+0a018f12_probe00,764,0.9078241641767861,0.6806282722513088
