held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,872,0.999991001934584,0.9993026499302651
719161530_probeB+0802ced5_probe01,791,0.9992170022371365,0.9730597143348821
719161530_probeC+0a018f12_probe00,652,1.0,1.0
719161530_probeF+3638d102_probe01,744,1.0,1.0
798911424_probeA+54238fd6_probe00,810,1.0,1.0
798911424_probeB+5dcee0eb_probe00,842,0.9971714743589744,0.9401041666666667
798911424_probeC+d2832a38_probe00,722,0.9916614057239057,0.96875
798911424_probeD+0802ced5_probe00,902,1.0,0.9993026499302651
798911424_probeE+0802ced5_probe01,814,0.9981374299612092,0.9721461116926298
798911424_probeF+0a018f12_probe00,721,1.0,0.9939024390243902
