held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,872,0.7972825842443875,0.6428217933144373
719161530_probeB+0802ced5_probe01,791,0.8143434864911375,0.6763336775081741
719161530_probeC+0a018f12_probe00,652,0.716639894169895,0.6414060285363319
719161530_probeF+3638d102_probe01,744,0.9026017029328287,0.7286896877956481
798911424_probeA+54238fd6_probe00,810,0.8588607754385671,0.6738564506512374
798911424_probeB+5dcee0eb_probe00,842,0.8055849358974358,0.6910096153846154
798911424_probeC+d2832a38_probe00,722,0.8651094276094276,0.7469749579124579
798911424_probeD+0802ced5_probe00,902,0.8026838554035207,0.679350899016171
798911424_probeE+0802ced5_probe01,814,0.7782695031094145,0.6460193337848654
798911424_probeF+0a018f12_probe00,721,0.8454591233524544,0.7076071725708281
