held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,880,1.0,0.9992987377279102
719161530_probeB+0802ced5_probe01,734,0.9997017627949087,0.9895457208286733
719161530_probeC+0a018f12_probe00,701,1.0,1.0
719161530_probeF+3638d102_probe01,743,1.0,1.0
798911424_probeA+54238fd6_probe00,779,1.0,0.9991680532445923
798911424_probeB+5dcee0eb_probe00,854,0.9983982836654323,0.9528301886792453
798911424_probeC+d2832a38_probe00,694,0.9947679941541834,0.9789915966386555
798911424_probeD+0802ced5_probe00,908,1.0,0.9992987377279102
798911424_probeE+0802ced5_probe01,795,0.9996733906714154,0.9818770704698508
798911424_probeF+0a018f12_probe00,790,1.0,0.9948453608247423
