held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,880,0.8332507495527878,0.6081371618614104
719161530_probeB+0802ced5_probe01,734,0.8090536294402728,0.6656388134419768
719161530_probeC+0a018f12_probe00,701,0.7824864173857462,0.733181527644615
719161530_probeF+3638d102_probe01,743,0.8552133981631549,0.6407347379794706
798911424_probeA+54238fd6_probe00,779,0.8742358241881508,0.6537792817214754
798911424_probeB+5dcee0eb_probe00,854,0.7571709868923765,0.6406571445365309
798911424_probeC+d2832a38_probe00,694,0.7935111435878699,0.6996346364632811
798911424_probeD+0802ced5_probe00,908,0.8289711223792571,0.6683784658539217
798911424_probeE+0802ced5_probe01,795,0.7593744653716348,0.6312658444406427
798911424_probeF+0a018f12_probe00,790,0.7443956272054246,0.6328962845084065
