held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,898,0.9999852455146365,0.9992917847025495
719161530_probeB+0802ced5_probe01,801,0.997414564322777,0.9888083735909823
719161530_probeC+0a018f12_probe00,665,1.0,1.0
719161530_probeF+3638d102_probe01,732,1.0,1.0
798911424_probeA+54238fd6_probe00,743,0.9996429730606946,0.9810126582278481
798911424_probeB+5dcee0eb_probe00,876,0.9970702820632694,0.9301075268817205
798911424_probeC+d2832a38_probe00,719,0.994909090909091,0.96
798911424_probeD+0802ced5_probe00,891,1.0,0.9992917847025495
798911424_probeE+0802ced5_probe01,811,0.9969149927959997,0.976748029494025
798911424_probeF+0a018f12_probe00,764,0.9999908628235703,0.9842931937172774
