held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,898,0.9969753305004722,0.9683368744098206
719161530_probeB+0802ced5_probe01,801,0.998908570406155,0.981280193236715
719161530_probeC+0a018f12_probe00,665,0.9995257606798695,0.9919474163441839
719161530_probeF+3638d102_probe01,732,0.9997662349805975,0.9794520547945205
798911424_probeA+54238fd6_probe00,743,0.9968624905333766,0.98426917667424
798911424_probeB+5dcee0eb_probe00,876,0.9896213183730715,0.9340345956054231
798911424_probeC+d2832a38_probe00,719,0.9743838383838385,0.964
798911424_probeD+0802ced5_probe00,891,0.998552943878723,0.9652974504249292
798911424_probeE+0802ced5_probe01,811,0.9984151199254174,0.9846427663361301
798911424_probeF+0a018f12_probe00,764,0.9996710616485294,0.9921465968586387
