held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,898,0.9991811260623229,0.9915014164305949
719161530_probeB+0802ced5_probe01,801,0.9994453390588656,0.9851449275362318
719161530_probeC+0a018f12_probe00,665,1.0,1.0
719161530_probeF+3638d102_probe01,732,1.0,0.9965753424657534
798911424_probeA+54238fd6_probe00,743,0.9999567240073569,0.9928161852212485
798911424_probeB+5dcee0eb_probe00,876,0.9921069035374787,0.9086021505376345
798911424_probeC+d2832a38_probe00,719,0.9949090909090909,0.9831582491582491
798911424_probeD+0802ced5_probe00,891,0.9992803001301584,0.9915014164305949
798911424_probeE+0802ced5_probe01,811,0.9975421645902195,0.9808331214509705
798911424_probeF+0a018f12_probe00,764,1.0,0.9947643979057592
