held_out,n_test,auc,balanced_accuracy
719161530_probeA+0802ced5_probe00,898,0.9917669971671388,0.938613963644948
719161530_probeB+0802ced5_probe01,801,0.9982644480229022,0.9848631239935588
719161530_probeC+0a018f12_probe00,665,0.997932316564231,0.9910748159951437
719161530_probeF+3638d102_probe01,732,0.9999883117490298,0.9794520547945205
798911424_probeA+54238fd6_probe00,743,0.9967759385480904,0.9811965811965813
798911424_probeB+5dcee0eb_probe00,876,0.9895122331307464,0.9467508181393174
798911424_probeC+d2832a38_probe00,719,0.975016835016835,0.9511582491582491
798911424_probeD+0802ced5_probe00,891,0.995674144399357,0.9468838526912181
798911424_probeE+0802ced5_probe01,811,0.9983049410967032,0.9880794982625646
798911424_probeF+0a018f12_probe00,764,0.9975420995404001,0.993891797556719
