features,held_out_ibl,held_out_allen,n_test,accuracy,balanced_accuracy,auc
bandpower_full,0802ced5_probe00,719161530_probeA,26700,0.8913857677902621,0.8035286225402505,0.8718506618962434
bandpower_full,0802ced5_probe01,719161530_probeB,23700,0.8529113924050633,0.7819808743169399,0.8683378971868044
bandpower_full,0a018f12_probe00,719161530_probeC,20900,0.9045454545454545,0.8032739463601533,0.92089561302682
bandpower_full,3638d102_probe01,719161530_probeF,22800,0.7805701754385965,0.7871077344463284,0.8638440198252251
bandpower_full,54238fd6_probe00,798911424_probeA,23000,0.6620434782608695,0.6185667839249547,0.6412842447500267
bandpower_full,5dcee0eb_probe00,798911424_probeB,25800,0.8636046511627907,0.7084092694422623,0.8586018416688487
bandpower_full,d2832a38_probe00,798911424_probeC,22100,0.847737556561086,0.7164365832614322,0.8590567587000287
bandpower_full,0802ced5_probe00,798911424_probeD,27200,0.8635294117647059,0.7558678090575275,0.8459433537331702
bandpower_full,0802ced5_probe01,798911424_probeE,24700,0.8010931174089069,0.6976084357923498,0.7752735058060108
bandpower_full,0a018f12_probe00,798911424_probeF,23700,0.8520675105485233,0.73975,0.8679873976608186
bandpower_clean,0802ced5_probe00,719161530_probeA,26700,0.9052808988764045,0.7986703935599284,0.875846252236136
bandpower_clean,0802ced5_probe01,719161530_probeB,23700,0.8756962025316456,0.7730418943533698,0.8431223537745396
bandpower_clean,0a018f12_probe00,719161530_probeC,20900,0.8632535885167464,0.6624358237547893,0.7439615134099616
bandpower_clean,3638d102_probe01,719161530_probeF,22800,0.6037719298245614,0.6394326333637668,0.715347476196687
bandpower_clean,54238fd6_probe00,798911424_probeA,23000,0.7291304347826087,0.5981121415627332,0.592519646093167
bandpower_clean,5dcee0eb_probe00,798911424_probeB,25800,0.8418992248062015,0.6768826918041372,0.8391351662738937
bandpower_clean,d2832a38_probe00,798911424_probeC,22100,0.7888235294117647,0.605068306010929,0.6902123669830313
bandpower_clean,0802ced5_probe00,798911424_probeD,27200,0.8104411764705882,0.5961313749490004,0.5985270909832722
bandpower_clean,0802ced5_probe01,798911424_probeE,24700,0.7708502024291498,0.5963716700819672,0.609277894467213
bandpower_clean,0a018f12_probe00,798911424_probeF,23700,0.8089451476793249,0.6547763157894737,0.7820795419103314
w2v2_frozen,0802ced5_probe00,719161530_probeA,26700,0.9998876404494382,0.9999302325581395,1.0
w2v2_frozen,0802ced5_probe01,719161530_probeB,23700,0.999915611814346,0.9999453551912568,1.0
w2v2_frozen,0a018f12_probe00,719161530_probeC,20900,1.0,1.0,1.0
w2v2_frozen,3638d102_probe01,719161530_probeF,22800,1.0,1.0,1.0
w2v2_frozen,54238fd6_probe00,798911424_probeA,23000,1.0,1.0,1.0
w2v2_frozen,5dcee0eb_probe00,798911424_probeB,25800,0.996201550387597,0.9917805708300602,0.9999678013441564
w2v2_frozen,d2832a38_probe00,798911424_probeC,22100,0.9990045248868779,0.9971052631578947,0.9999996404946793
w2v2_frozen,0802ced5_probe00,798911424_probeD,27200,0.9998897058823529,0.9999302325581395,1.0
w2v2_frozen,0802ced5_probe01,798911424_probeE,24700,0.999919028340081,0.9999453551912568,1.0
w2v2_frozen,0a018f12_probe00,798911424_probeF,23700,1.0,1.0,1.0
