scheme,bin,n,position,bandpower_full,w2v2_frozen,position+bandpower_full,position+w2v2_frozen
cross_lab_allen_to_ibl,0–50 µm,19900,0.2814070351758794,0.378391959798995,0.31618090452261305,0.5299497487437186,0.3279396984924623
cross_lab_allen_to_ibl,50–100 µm,28300,0.28975265017667845,0.3862897526501767,0.30901060070671377,0.5436749116607774,0.31734982332155476
cross_lab_allen_to_ibl,100–200 µm,41700,0.33573141486810554,0.37458033573141486,0.3096402877697842,0.5609832134292566,0.31882494004796164
cross_lab_allen_to_ibl,200–400 µm,41300,0.4794188861985472,0.42472154963680386,0.3066101694915254,0.7104600484261501,0.3157869249394673
cross_lab_allen_to_ibl,≥400 µm,1400,1.0,0.055714285714285716,0.002142857142857143,0.9914285714285714,0.012142857142857143
cross_lab_ibl_to_allen,0–50 µm,5900,0.288135593220339,0.3059322033898305,0.25864406779661014,0.32101694915254236,0.26915254237288133
cross_lab_ibl_to_allen,50–100 µm,5800,0.27586206896551724,0.3322413793103448,0.2918965517241379,0.31275862068965515,0.3053448275862069
cross_lab_ibl_to_allen,100–200 µm,15600,0.1987179487179487,0.36378205128205127,0.41,0.255,0.3712179487179487
cross_lab_ibl_to_allen,200–400 µm,19200,0.14583333333333334,0.52015625,0.5108854166666666,0.21598958333333335,0.41088541666666667
cross_lab_ibl_to_allen,≥400 µm,3300,0.12121212121212122,0.4612121212121212,0.7709090909090909,0.29848484848484846,0.5827272727272728
loso_allen,0–50 µm,5900,0.5254237288135594,0.5347457627118644,0.5959322033898306,0.546271186440678,0.6038983050847457
loso_allen,50–100 µm,5800,0.5172413793103449,0.5472413793103448,0.6637931034482759,0.551896551724138,0.6639655172413793
loso_allen,100–200 µm,15600,0.5128205128205128,0.5460897435897436,0.7284615384615385,0.5748076923076924,0.736474358974359
loso_allen,200–400 µm,19200,0.59375,0.72421875,0.7772395833333333,0.7335416666666666,0.7946875
loso_allen,≥400 µm,3300,0.6060606060606061,0.7890909090909091,0.8912121212121212,0.8909090909090909,0.9527272727272728
loso_ibl,0–50 µm,19900,0.6432160804020101,0.40175879396984926,0.5751256281407036,0.61321608040201,0.6446733668341709
loso_ibl,50–100 µm,28300,0.7102473498233216,0.412791519434629,0.6513074204946997,0.6831095406360425,0.7401060070671378
loso_ibl,100–200 µm,41700,0.8177458033573142,0.43510791366906476,0.7723741007194245,0.8063549160671463,0.8677937649880096
loso_ibl,200–400 µm,41300,0.8910411622276029,0.5373849878934625,0.8275786924939468,0.8724213075060533,0.9338498789346247
loso_ibl,≥400 µm,1400,1.0,0.64,0.9978571428571429,1.0,1.0
