key,group,channel,depth_um,temporal,spatial,label
719161530_probeA::33,719161530_probeA,33,1360.0,0,0,3
719161530_probeA::34,719161530_probeA,34,1400.0,0,0,3
719161530_probeA::35,719161530_probeA,35,1440.0,0,0,3
719161530_probeA::36,719161530_probeA,36,1480.0,0,0,3
719161530_probeA::37,719161530_probeA,37,1520.0,0,0,3
719161530_probeA::38,719161530_probeA,38,1560.0,0,0,3
719161530_probeA::39,719161530_probeA,39,1600.0,3,3,3
719161530_probeA::40,719161530_probeA,40,1640.0,3,3,3
719161530_probeA::41,719161530_probeA,41,1680.0,3,3,3
719161530_probeA::42,719161530_probeA,42,1720.0,3,3,3
719161530_probeA::43,719161530_probeA,43,1760.0,3,3,3
719161530_probeA::44,719161530_probeA,44,1800.0,3,3,3
719161530_probeA::45,719161530_probeA,45,1840.0,0,3,0
719161530_probeA::46,719161530_probeA,46,1880.0,3,0,0
719161530_probeA::47,719161530_probeA,47,1920.0,0,0,0
719161530_probeA::48,719161530_probeA,48,1960.0,0,0,0
719161530_probeA::49,719161530_probeA,49,2000.0,0,0,0
719161530_probeA::50,719161530_probeA,50,2040.0,0,0,0
719161530_probeA::51,719161530_probeA,51,2080.0,0,0,0
719161530_probeA::52,719161530_probeA,52,2120.0,0,0,0
719161530_probeA::53,719161530_probeA,53,2160.0,0,0,0
719161530_probeA::54,719161530_probeA,54,2200.0,0,0,0
719161530_probeA::55,719161530_probeA,55,2240.0,0,0,0
719161530_probeA::56,719161530_probeA,56,2280.0,0,0,0
719161530_probeA::57,719161530_probeA,57,2320.0,0,0,0
719161530_probeA::58,719161530_probeA,58,2360.0,4,4,0
719161530_probeA::59,719161530_probeA,59,2400.0,4,4,0
719161530_probeA::60,719161530_probeA,60,2440.0,4,4,0
719161530_probeA::61,719161530_probeA,61,2480.0,4,4,0
719161530_probeA::62,719161530_probeA,62,2520.0,4,4,4
719161530_probeA::63,719161530_probeA,63,2560.0,4,4,4
719161530_probeA::64,719161530_probeA,64,2600.0,4,4,4
719161530_probeA::65,719161530_probeA,65,2640.0,4,4,4
719161530_probeA::66,719161530_probeA,66,2680.0,4,4,4
719161530_probeA::67,719161530_probeA,67,2720.0,4,4,4
719161530_probeA::68,719161530_probeA,68,2760.0,4,4,4
719161530_probeA::69,719161530_probeA,69,2800.0,4,4,4
719161530_probeA::70,719161530_probeA,70,2840.0,4,4,4
719161530_probeA::71,719161530_probeA,71,2880.0,4,4,4
719161530_probeA::72,719161530_probeA,72,2920.0,4,4,4
719161530_probeA::73,719161530_probeA,73,2960.0,4,4,4
719161530_probeA::74,719161530_probeA,74,3000.0,4,4,4
719161530_probeA::75,719161530_probeA,75,3040.0,4,4,4
719161530_probeA::76,719161530_probeA,76,3080.0,4,4,4
719161530_probeA::77,719161530_probeA,77,3120.0,4,4,4
719161530_probeA::78,719161530_probeA,78,3160.0,4,4,4
719161530_probeA::79,719161530_probeA,79,3200.0,4,4,4
719161530_probeA::80,719161530_probeA,80,3240.0,4,4,4
719161530_probeA::81,719161530_probeA,81,3280.0,4,4,4
719161530_probeA::82,719161530_probeA,82,3320.0,3,3,4
719161530_probeA::83,719161530_probeA,83,3360.0,3,3,4
719161530_probeA::84,719161530_probeA,84,3400.0,3,3,4
719161530_probeB::32,719161530_probeB,32,1320.0,0,0,3
719161530_probeB::33,719161530_probeB,33,1360.0,0,0,3
719161530_probeB::34,719161530_probeB,34,1400.0,0,0,3
719161530_probeB::35,719161530_probeB,35,1440.0,0,0,3
719161530_probeB::36,719161530_probeB,36,1480.0,0,0,3
719161530_probeB::37,719161530_probeB,37,1520.0,0,0,3
719161530_probeB::38,719161530_probeB,38,1560.0,0,0,3
719161530_probeB::39,719161530_probeB,39,1600.0,3,3,3
719161530_probeB::40,719161530_probeB,40,1640.0,3,3,3
719161530_probeB::41,719161530_probeB,41,1680.0,3,3,3
719161530_probeB::42,719161530_probeB,42,1720.0,3,3,3
719161530_probeB::43,719161530_probeB,43,1760.0,3,3,3
719161530_probeB::44,719161530_probeB,44,1800.0,3,3,3
719161530_probeB::45,719161530_probeB,45,1840.0,3,3,3
719161530_probeB::46,719161530_probeB,46,1880.0,0,3,0
719161530_probeB::47,719161530_probeB,47,1920.0,0,3,0
719161530_probeB::48,719161530_probeB,48,1960.0,3,0,0
719161530_probeB::49,719161530_probeB,49,2000.0,3,0,0
719161530_probeB::50,719161530_probeB,50,2040.0,0,0,0
719161530_probeB::51,719161530_probeB,51,2080.0,0,0,0
719161530_probeB::52,719161530_probeB,52,2120.0,0,0,0
719161530_probeB::53,719161530_probeB,53,2160.0,0,0,0
719161530_probeB::54,719161530_probeB,54,2200.0,0,0,0
719161530_probeB::55,719161530_probeB,55,2240.0,0,0,0
719161530_probeB::56,719161530_probeB,56,2280.0,0,0,0
719161530_probeB::57,719161530_probeB,57,2320.0,4,4,0
719161530_probeB::58,719161530_probeB,58,2360.0,4,4,0
719161530_probeB::59,719161530_probeB,59,2400.0,4,4,0
719161530_probeB::60,719161530_probeB,60,2440.0,4,4,0
719161530_probeB::61,719161530_probeB,61,2480.0,4,4,0
719161530_probeB::62,719161530_probeB,62,2520.0,4,4,0
719161530_probeB::63,719161530_probeB,63,2560.0,4,4,0
719161530_probeB::64,719161530_probeB,64,2600.0,4,4,4
719161530_probeB::65,719161530_probeB,65,2640.0,4,4,4
719161530_probeB::66,719161530_probeB,66,2680.0,4,4,4
719161530_probeB::67,719161530_probeB,67,2720.0,4,4,4
719161530_probeB::68,719161530_probeB,68,2760.0,4,4,4
719161530_probeB::69,719161530_probeB,69,2800.0,4,4,4
719161530_probeB::70,719161530_probeB,70,2840.0,4,4,4
719161530_probeB::71,719161530_probeB,71,2880.0,4,4,4
719161530_probeB::72,719161530_probeB,72,2920.0,4,4,4
719161530_probeB::73,719161530_probeB,73,2960.0,4,4,4
719161530_probeB::74,719161530_probeB,74,3000.0,4,4,4
719161530_probeB::75,719161530_probeB,75,3040.0,4,4,4
719161530_probeB::76,719161530_probeB,76,3080.0,4,4,4
719161530_probeB::77,719161530_probeB,77,3120.0,4,4,4
719161530_probeB::78,719161530_probeB,78,3160.0,4,4,4
719161530_probeB::79,719161530_probeB,79,3200.0,4,4,4
719161530_probeB::80,719161530_probeB,80,3240.0,4,4,4
719161530_probeB::81,719161530_probeB,81,3280.0,4,4,4
719161530_probeB::82,719161530_probeB,82,3320.0,4,4,4
719161530_probeB::83,719161530_probeB,83,3360.0,4,4,4
719161530_probeB::84,719161530_probeB,84,3400.0,3,3,4
719161530_probeB::85,719161530_probeB,85,3440.0,3,3,4
719161530_probeC::24,719161530_probeC,24,1000.0,0,0,3
719161530_probeC::25,719161530_probeC,25,1040.0,0,0,3
719161530_probeC::26,719161530_probeC,26,1080.0,0,0,3
719161530_probeC::27,719161530_probeC,27,1120.0,0,0,3
719161530_probeC::28,719161530_probeC,28,1160.0,0,0,3
719161530_probeC::29,719161530_probeC,29,1200.0,0,0,3
719161530_probeC::30,719161530_probeC,30,1240.0,0,0,3
719161530_probeC::60,719161530_probeC,60,2440.0,4,4,4
719161530_probeC::61,719161530_probeC,61,2480.0,4,4,4
719161530_probeC::62,719161530_probeC,62,2520.0,4,4,4
719161530_probeC::63,719161530_probeC,63,2560.0,4,4,4
719161530_probeC::64,719161530_probeC,64,2600.0,4,4,4
719161530_probeC::65,719161530_probeC,65,2640.0,4,4,4
719161530_probeC::66,719161530_probeC,66,2680.0,4,4,4
719161530_probeC::67,719161530_probeC,67,2720.0,4,4,4
719161530_probeC::68,719161530_probeC,68,2760.0,3,3,4
719161530_probeC::69,719161530_probeC,69,2800.0,3,3,4
719161530_probeC::70,719161530_probeC,70,2840.0,3,3,4
719161530_probeC::71,719161530_probeC,71,2880.0,3,3,4
719161530_probeC::72,719161530_probeC,72,2920.0,3,3,4
719161530_probeC::73,719161530_probeC,73,2960.0,3,3,4
719161530_probeC::74,719161530_probeC,74,3000.0,3,3,4
719161530_probeC::75,719161530_probeC,75,3040.0,3,3,4
719161530_probeC::76,719161530_probeC,76,3080.0,3,3,4
719161530_probeC::77,719161530_probeC,77,3120.0,3,3,4
719161530_probeC::78,719161530_probeC,78,3160.0,3,3,4
