key,group,channel,depth_um,temporal,spatial,label
0802ced5_probe00::140,0802ced5_probe00,140,1420.0,4,4,2
0802ced5_probe00::141,0802ced5_probe00,141,1420.0,4,4,2
0802ced5_probe00::142,0802ced5_probe00,142,1440.0,4,4,2
0802ced5_probe00::143,0802ced5_probe00,143,1440.0,4,4,2
0802ced5_probe00::144,0802ced5_probe00,144,1460.0,3,3,2
0802ced5_probe00::145,0802ced5_probe00,145,1460.0,3,3,2
0802ced5_probe00::146,0802ced5_probe00,146,1480.0,3,3,2
0802ced5_probe00::147,0802ced5_probe00,147,1480.0,3,3,2
0802ced5_probe00::148,0802ced5_probe00,148,1500.0,3,3,2
0802ced5_probe00::149,0802ced5_probe00,149,1500.0,3,3,2
0802ced5_probe00::150,0802ced5_probe00,150,1520.0,3,3,2
0802ced5_probe00::151,0802ced5_probe00,151,1520.0,3,3,2
0802ced5_probe00::152,0802ced5_probe00,152,1540.0,3,3,2
0802ced5_probe00::153,0802ced5_probe00,153,1540.0,3,3,2
0802ced5_probe00::154,0802ced5_probe00,154,1560.0,3,3,2
0802ced5_probe00::155,0802ced5_probe00,155,1560.0,3,3,2
0802ced5_probe00::156,0802ced5_probe00,156,1580.0,3,3,2
0802ced5_probe00::157,0802ced5_probe00,157,1580.0,3,3,2
0802ced5_probe00::158,0802ced5_probe00,158,1600.0,3,3,2
0802ced5_probe00::159,0802ced5_probe00,159,1600.0,3,3,2
0802ced5_probe00::160,0802ced5_probe00,160,1620.0,3,3,2
0802ced5_probe00::161,0802ced5_probe00,161,1620.0,3,3,2
0802ced5_probe00::162,0802ced5_probe00,162,1640.0,3,3,2
0802ced5_probe00::163,0802ced5_probe00,163,1640.0,3,3,2
0802ced5_probe00::164,0802ced5_probe00,164,1660.0,3,3,2
0802ced5_probe00::165,0802ced5_probe00,165,1660.0,3,3,2
0802ced5_probe00::166,0802ced5_probe00,166,1680.0,3,3,2
0802ced5_probe00::167,0802ced5_probe00,167,1680.0,3,3,2
0802ced5_probe00::168,0802ced5_probe00,168,1700.0,3,3,2
0802ced5_probe00::169,0802ced5_probe00,169,1700.0,3,3,2
0802ced5_probe00::170,0802ced5_probe00,170,1720.0,3,3,3
0802ced5_probe00::171,0802ced5_probe00,171,1720.0,3,3,3
0802ced5_probe00::172,0802ced5_probe00,172,1740.0,3,3,3
0802ced5_probe00::173,0802ced5_probe00,173,1740.0,3,3,3
0802ced5_probe00::174,0802ced5_probe00,174,1760.0,3,3,3
0802ced5_probe00::175,0802ced5_probe00,175,1760.0,3,3,3
0802ced5_probe00::176,0802ced5_probe00,176,1780.0,3,3,3
0802ced5_probe00::177,0802ced5_probe00,177,1780.0,3,3,3
0802ced5_probe00::178,0802ced5_probe00,178,1800.0,3,3,3
0802ced5_probe00::179,0802ced5_probe00,179,1800.0,3,3,3
0802ced5_probe00::180,0802ced5_probe00,180,1820.0,3,3,3
0802ced5_probe00::181,0802ced5_probe00,181,1820.0,3,3,3
0802ced5_probe00::182,0802ced5_probe00,182,1840.0,3,3,3
0802ced5_probe00::183,0802ced5_probe00,183,1840.0,3,3,3
0802ced5_probe00::184,0802ced5_probe00,184,1860.0,3,3,3
0802ced5_probe00::185,0802ced5_probe00,185,1860.0,3,3,3
0802ced5_probe00::186,0802ced5_probe00,186,1880.0,3,3,3
0802ced5_probe00::187,0802ced5_probe00,187,1880.0,3,3,3
0802ced5_probe00::188,0802ced5_probe00,188,1900.0,3,3,3
0802ced5_probe00::189,0802ced5_probe00,189,1900.0,3,3,3
0802ced5_probe00::190,0802ced5_probe00,190,1920.0,3,3,3
0802ced5_probe00::192,0802ced5_probe00,192,1940.0,3,3,3
0802ced5_probe00::193,0802ced5_probe00,193,1940.0,3,3,3
0802ced5_probe00::194,0802ced5_probe00,194,1960.0,3,3,3
0802ced5_probe00::195,0802ced5_probe00,195,1960.0,3,3,3
0802ced5_probe00::196,0802ced5_probe00,196,1980.0,3,3,3
0802ced5_probe00::197,0802ced5_probe00,197,1980.0,3,3,3
0802ced5_probe00::198,0802ced5_probe00,198,2000.0,3,3,3
