key,group,channel,depth_um,temporal,spatial,label
0a018f12_probe00::182,0a018f12_probe00,182,1840.0,2,2,3
0a018f12_probe00::183,0a018f12_probe00,183,1840.0,2,2,3
0a018f12_probe00::184,0a018f12_probe00,184,1860.0,2,2,3
0a018f12_probe00::185,0a018f12_probe00,185,1860.0,2,2,3
0a018f12_probe00::186,0a018f12_probe00,186,1880.0,2,2,3
0a018f12_probe00::187,0a018f12_probe00,187,1880.0,2,2,3
0a018f12_probe00::188,0a018f12_probe00,188,1900.0,2,2,3
0a018f12_probe00::189,0a018f12_probe00,189,1900.0,2,2,3
0a018f12_probe00::190,0a018f12_probe00,190,1920.0,3,3,3
0a018f12_probe00::193,0a018f12_probe00,193,1940.0,3,3,3
0a018f12_probe00::194,0a018f12_probe00,194,1960.0,3,3,3
0a018f12_probe00::195,0a018f12_probe00,195,1960.0,3,3,3
0a018f12_probe00::196,0a018f12_probe00,196,1980.0,3,3,3
0a018f12_probe00::198,0a018f12_probe00,198,2000.0,3,3,3
0a018f12_probe00::199,0a018f12_probe00,199,2000.0,3,3,3
0a018f12_probe00::200,0a018f12_probe00,200,2020.0,3,3,3
0a018f12_probe00::201,0a018f12_probe00,201,2020.0,3,3,3
0a018f12_probe00::202,0a018f12_probe00,202,2040.0,3,3,3
0a018f12_probe00::203,0a018f12_probe00,203,2040.0,3,3,3
0a018f12_probe00::204,0a018f12_probe00,204,2060.0,3,3,3
0a018f12_probe00::205,0a018f12_probe00,205,2060.0,3,3,3
0a018f12_probe00::206,0a018f12_probe00,206,2080.0,3,3,3
0a018f12_probe00::207,0a018f12_probe00,207,2080.0,3,3,3
0a018f12_probe00::208,0a018f12_probe00,208,2100.0,3,3,3
0a018f12_probe00::209,0a018f12_probe00,209,2100.0,3,3,3
0a018f12_probe00::210,0a018f12_probe00,210,2120.0,3,3,3
0a018f12_probe00::211,0a018f12_probe00,211,2120.0,3,3,3
0a018f12_probe00::212,0a018f12_probe00,212,2140.0,3,3,3
0a018f12_probe00::213,0a018f12_probe00,213,2140.0,3,3,3
0a018f12_probe00::214,0a018f12_probe00,214,2160.0,3,3,3
0a018f12_probe00::215,0a018f12_probe00,215,2160.0,3,3,3
0a018f12_probe00::216,0a018f12_probe00,216,2180.0,3,3,3
0a018f12_probe00::217,0a018f12_probe00,217,2180.0,3,3,3
0a018f12_probe00::218,0a018f12_probe00,218,2200.0,3,3,3
0a018f12_probe00::219,0a018f12_probe00,219,2200.0,3,3,3
0a018f12_probe00::220,0a018f12_probe00,220,2220.0,3,3,3
0a018f12_probe00::221,0a018f12_probe00,221,2220.0,3,3,3
0a018f12_probe00::222,0a018f12_probe00,222,2240.0,3,3,3
0a018f12_probe00::223,0a018f12_probe00,223,2240.0,3,3,3
0a018f12_probe00::224,0a018f12_probe00,224,2260.0,3,3,3
0a018f12_probe00::225,0a018f12_probe00,225,2260.0,3,3,3
0a018f12_probe00::226,0a018f12_probe00,226,2280.0,3,3,3
0a018f12_probe00::227,0a018f12_probe00,227,2280.0,3,3,3
0a018f12_probe00::228,0a018f12_probe00,228,2300.0,3,3,3
0a018f12_probe00::229,0a018f12_probe00,229,2300.0,3,3,3
0a018f12_probe00::230,0a018f12_probe00,230,2320.0,3,3,3
0a018f12_probe00::231,0a018f12_probe00,231,2320.0,3,3,3
0a018f12_probe00::232,0a018f12_probe00,232,2340.0,3,3,3
0a018f12_probe00::233,0a018f12_probe00,233,2340.0,3,3,3
0a018f12_probe00::234,0a018f12_probe00,234,2360.0,3,3,3
0a018f12_probe00::235,0a018f12_probe00,235,2360.0,3,3,3
0a018f12_probe00::236,0a018f12_probe00,236,2380.0,3,3,3
0a018f12_probe00::237,0a018f12_probe00,237,2380.0,3,3,3
0a018f12_probe00::238,0a018f12_probe00,238,2400.0,3,3,3
0a018f12_probe00::239,0a018f12_probe00,239,2400.0,3,3,3
0a018f12_probe00::240,0a018f12_probe00,240,2420.0,3,3,3
0a018f12_probe00::241,0a018f12_probe00,241,2420.0,3,3,3
0a018f12_probe00::242,0a018f12_probe00,242,2440.0,3,3,3
0a018f12_probe00::243,0a018f12_probe00,243,2440.0,3,3,3
0a018f12_probe00::244,0a018f12_probe00,244,2460.0,3,3,3
0a018f12_probe00::245,0a018f12_probe00,245,2460.0,3,3,3
0a018f12_probe00::246,0a018f12_probe00,246,2480.0,0,0,3
0a018f12_probe00::247,0a018f12_probe00,247,2480.0,0,0,3
0a018f12_probe00::248,0a018f12_probe00,248,2500.0,0,0,3
0a018f12_probe00::249,0a018f12_probe00,249,2500.0,0,0,3
0a018f12_probe00::250,0a018f12_probe00,250,2520.0,0,0,0
0a018f12_probe00::251,0a018f12_probe00,251,2520.0,0,0,0
0a018f12_probe00::252,0a018f12_probe00,252,2540.0,0,0,0
0a018f12_probe00::253,0a018f12_probe00,253,2540.0,0,0,0
0a018f12_probe00::254,0a018f12_probe00,254,2560.0,0,0,0
0a018f12_probe00::255,0a018f12_probe00,255,2560.0,0,0,0
0a018f12_probe00::256,0a018f12_probe00,256,2580.0,0,0,0
0a018f12_probe00::257,0a018f12_probe00,257,2580.0,0,0,0
0a018f12_probe00::258,0a018f12_probe00,258,2600.0,0,0,0
0a018f12_probe00::259,0a018f12_probe00,259,2600.0,0,0,0
0a018f12_probe00::260,0a018f12_probe00,260,2620.0,0,0,0
0a018f12_probe00::261,0a018f12_probe00,261,2620.0,0,0,0
0a018f12_probe00::262,0a018f12_probe00,262,2640.0,0,0,0
0a018f12_probe00::263,0a018f12_probe00,263,2640.0,0,0,0
0a018f12_probe00::264,0a018f12_probe00,264,2660.0,0,0,0
0a018f12_probe00::265,0a018f12_probe00,265,2660.0,0,0,0
0a018f12_probe00::266,0a018f12_probe00,266,2680.0,0,0,0
0a018f12_probe00::267,0a018f12_probe00,267,2680.0,0,0,0
0a018f12_probe00::268,0a018f12_probe00,268,2700.0,0,0,0
0a018f12_probe00::269,0a018f12_probe00,269,2700.0,0,0,0
0a018f12_probe00::270,0a018f12_probe00,270,2720.0,0,0,0
0a018f12_probe00::271,0a018f12_probe00,271,2720.0,0,0,0
0a018f12_probe00::272,0a018f12_probe00,272,2740.0,0,0,0
0a018f12_probe00::273,0a018f12_probe00,273,2740.0,3,3,0
0a018f12_probe00::274,0a018f12_probe00,274,2760.0,3,3,0
0a018f12_probe00::275,0a018f12_probe00,275,2760.0,3,3,0
0a018f12_probe00::276,0a018f12_probe00,276,2780.0,3,3,0
0a018f12_probe00::277,0a018f12_probe00,277,2780.0,3,3,0
0a018f12_probe00::278,0a018f12_probe00,278,2800.0,3,3,0
0a018f12_probe00::279,0a018f12_probe00,279,2800.0,3,3,0
0a018f12_probe00::280,0a018f12_probe00,280,2820.0,3,3,0
0a018f12_probe00::281,0a018f12_probe00,281,2820.0,3,3,0
0a018f12_probe00::282,0a018f12_probe00,282,2840.0,0,0,0
