key,group,channel,depth_um,temporal,spatial,label
3638d102_probe01::158,3638d102_probe01,158,1600.0,2,2,3
3638d102_probe01::159,3638d102_probe01,159,1600.0,2,2,3
3638d102_probe01::160,3638d102_probe01,160,1620.0,2,2,3
3638d102_probe01::161,3638d102_probe01,161,1620.0,2,2,3
3638d102_probe01::162,3638d102_probe01,162,1640.0,2,2,3
3638d102_probe01::163,3638d102_probe01,163,1640.0,2,2,3
3638d102_probe01::164,3638d102_probe01,164,1660.0,2,2,3
3638d102_probe01::165,3638d102_probe01,165,1660.0,2,2,3
3638d102_probe01::166,3638d102_probe01,166,1680.0,3,2,3
3638d102_probe01::167,3638d102_probe01,167,1680.0,2,3,3
3638d102_probe01::168,3638d102_probe01,168,1700.0,3,3,3
3638d102_probe01::169,3638d102_probe01,169,1700.0,3,3,3
3638d102_probe01::170,3638d102_probe01,170,1720.0,3,3,3
3638d102_probe01::171,3638d102_probe01,171,1720.0,3,3,3
3638d102_probe01::172,3638d102_probe01,172,1740.0,3,3,3
3638d102_probe01::173,3638d102_probe01,173,1740.0,3,3,3
3638d102_probe01::174,3638d102_probe01,174,1760.0,3,3,3
3638d102_probe01::175,3638d102_probe01,175,1760.0,3,3,3
3638d102_probe01::176,3638d102_probe01,176,1780.0,3,3,3
3638d102_probe01::177,3638d102_probe01,177,1780.0,2,3,3
3638d102_probe01::178,3638d102_probe01,178,1800.0,3,3,3
3638d102_probe01::179,3638d102_probe01,179,1800.0,3,3,3
3638d102_probe01::180,3638d102_probe01,180,1820.0,3,3,3
3638d102_probe01::181,3638d102_probe01,181,1820.0,3,3,3
3638d102_probe01::182,3638d102_probe01,182,1840.0,3,3,3
3638d102_probe01::183,3638d102_probe01,183,1840.0,3,3,3
3638d102_probe01::184,3638d102_probe01,184,1860.0,3,3,3
3638d102_probe01::185,3638d102_probe01,185,1860.0,3,3,3
3638d102_probe01::186,3638d102_probe01,186,1880.0,3,3,3
3638d102_probe01::187,3638d102_probe01,187,1880.0,3,3,3
3638d102_probe01::188,3638d102_probe01,188,1900.0,3,3,3
3638d102_probe01::189,3638d102_probe01,189,1900.0,3,3,3
3638d102_probe01::190,3638d102_probe01,190,1920.0,2,3,3
3638d102_probe01::192,3638d102_probe01,192,1940.0,3,3,3
3638d102_probe01::193,3638d102_probe01,193,1940.0,3,3,3
3638d102_probe01::194,3638d102_probe01,194,1960.0,2,3,3
3638d102_probe01::195,3638d102_probe01,195,1960.0,3,3,3
3638d102_probe01::196,3638d102_probe01,196,1980.0,3,3,3
3638d102_probe01::197,3638d102_probe01,197,1980.0,3,3,3
3638d102_probe01::198,3638d102_probe01,198,2000.0,3,3,3
3638d102_probe01::199,3638d102_probe01,199,2000.0,3,3,3
3638d102_probe01::200,3638d102_probe01,200,2020.0,3,3,3
3638d102_probe01::201,3638d102_probe01,201,2020.0,3,3,3
3638d102_probe01::202,3638d102_probe01,202,2040.0,3,3,3
3638d102_probe01::203,3638d102_probe01,203,2040.0,3,3,3
3638d102_probe01::204,3638d102_probe01,204,2060.0,3,3,3
3638d102_probe01::205,3638d102_probe01,205,2060.0,3,3,3
3638d102_probe01::206,3638d102_probe01,206,2080.0,3,3,3
