key,group,channel,depth_um,temporal,spatial,label
5dcee0eb_probe00::162,5dcee0eb_probe00,162,1640.0,3,3,3
5dcee0eb_probe00::163,5dcee0eb_probe00,163,1640.0,3,3,3
5dcee0eb_probe00::164,5dcee0eb_probe00,164,1660.0,3,3,3
5dcee0eb_probe00::165,5dcee0eb_probe00,165,1660.0,0,3,3
5dcee0eb_probe00::166,5dcee0eb_probe00,166,1680.0,3,3,3
5dcee0eb_probe00::167,5dcee0eb_probe00,167,1680.0,3,3,3
5dcee0eb_probe00::168,5dcee0eb_probe00,168,1700.0,3,3,3
5dcee0eb_probe00::169,5dcee0eb_probe00,169,1700.0,0,3,3
5dcee0eb_probe00::170,5dcee0eb_probe00,170,1720.0,3,3,3
5dcee0eb_probe00::171,5dcee0eb_probe00,171,1720.0,3,3,3
5dcee0eb_probe00::172,5dcee0eb_probe00,172,1740.0,3,3,3
5dcee0eb_probe00::173,5dcee0eb_probe00,173,1740.0,3,3,3
5dcee0eb_probe00::174,5dcee0eb_probe00,174,1760.0,3,3,3
5dcee0eb_probe00::175,5dcee0eb_probe00,175,1760.0,3,3,3
5dcee0eb_probe00::176,5dcee0eb_probe00,176,1780.0,3,3,3
5dcee0eb_probe00::177,5dcee0eb_probe00,177,1780.0,3,3,3
5dcee0eb_probe00::178,5dcee0eb_probe00,178,1800.0,3,3,3
5dcee0eb_probe00::179,5dcee0eb_probe00,179,1800.0,3,3,3
5dcee0eb_probe00::180,5dcee0eb_probe00,180,1820.0,3,3,3
5dcee0eb_probe00::181,5dcee0eb_probe00,181,1820.0,3,3,3
5dcee0eb_probe00::182,5dcee0eb_probe00,182,1840.0,3,3,3
5dcee0eb_probe00::183,5dcee0eb_probe00,183,1840.0,3,3,3
5dcee0eb_probe00::184,5dcee0eb_probe00,184,1860.0,3,3,3
5dcee0eb_probe00::185,5dcee0eb_probe00,185,1860.0,3,3,3
5dcee0eb_probe00::186,5dcee0eb_probe00,186,1880.0,3,3,3
5dcee0eb_probe00::187,5dcee0eb_probe00,187,1880.0,3,3,3
5dcee0eb_probe00::188,5dcee0eb_probe00,188,1900.0,3,3,3
